,date,time,temperature,humidity
0,1/1/2021,0:00:00,22,64.5
1,1/1/2021,1:00:00,20.1,71.91
2,1/1/2021,2:00:00,17.6,74.83
3,1/1/2021,3:00:00,19.6,66.22
4,1/1/2021,4:00:00,19.1,75.45
5,1/1/2021,5:00:00,23.5,57.5
6,1/1/2021,6:00:00,20.5,64.09
7,1/1/2021,7:00:00,17.6,74.85
8,1/1/2021,8:00:00,19.1,68.19
9,1/1/2021,9:00:00,21,60.58
10,1/1/2021,10:00:00,23.5,57.41
11,1/1/2021,11:00:00,24,53.57
12,1/1/2021,12:00:00,25,50.46
13,1/1/2021,13:00:00,27,44.32
14,1/1/2021,14:00:00,27,47.82
15,1/1/2021,15:00:00,27,45.09
16,1/1/2021,16:00:00,28.1,45.11
17,1/1/2021,17:00:00,26.9,45.58
18,1/1/2021,18:00:00,25.9,54.06
19,1/1/2021,19:00:00,24.2,57.88
20,1/1/2021,20:00:00,24.1,56.85
21,1/1/2021,21:00:00,24,53.88
22,1/1/2021,22:00:00,21.9,65.62
23,1/1/2021,23:00:00,22,60.47
24,2/1/2021,0:00:00,21.1,63.94
25,2/1/2021,1:00:00,20.4,67.22
26,2/1/2021,2:00:00,20.1,68
27,2/1/2021,3:00:00,20.1,64.09
28,2/1/2021,4:00:00,19.7,67.81
29,2/1/2021,5:00:00,19.9,64.79
30,2/1/2021,6:00:00,18.9,68.95
31,2/1/2021,7:00:00,18.2,70.23
32,2/1/2021,8:00:00,19.1,67.8
33,2/1/2021,9:00:00,21.1,60.26
34,2/1/2021,10:00:00,24.5,52.41
35,2/1/2021,11:00:00,25,50.46
36,2/1/2021,12:00:00,26,47.83
37,2/1/2021,13:00:00,27.8,45.12
38,2/1/2021,14:00:00,27.1,44.85
39,2/1/2021,15:00:00,28,40.08
40,2/1/2021,16:00:00,29.1,39.69
41,2/1/2021,17:00:00,28,42.28
42,2/1/2021,18:00:00,26.1,47.3
43,2/1/2021,19:00:00,25.1,56.5
44,2/1/2021,20:00:00,25,50.75
45,2/1/2021,21:00:00,24.9,50.73
46,2/1/2021,22:00:00,23.7,58.83
47,2/1/2021,23:00:00,23.9,54.17
48,3/1/2021,0:00:00,23,57.23
49,3/1/2021,1:00:00,22.9,63.82
50,3/1/2021,2:00:00,22.9,61.38
51,3/1/2021,3:00:00,22,64.5
52,3/1/2021,4:00:00,21.2,66.45
53,3/1/2021,5:00:00,21.1,68.59
54,3/1/2021,6:00:00,21.1,64.68
55,3/1/2021,7:00:00,20.6,68.42
56,3/1/2021,8:00:00,22.1,60.49
57,3/1/2021,9:00:00,24.1,53.6
58,3/1/2021,10:00:00,27,46.34
59,3/1/2021,11:00:00,27.1,45.11
60,3/1/2021,12:00:00,29,42.56
61,3/1/2021,13:00:00,31,42.04
62,3/1/2021,14:00:00,30,40.17
63,3/1/2021,15:00:00,30,40.4
64,3/1/2021,16:00:00,32,41.01
65,3/1/2021,17:00:00,30,42.83
66,3/1/2021,18:00:00,28.1,47.84
67,3/1/2021,19:00:00,27.4,57.87
68,3/1/2021,20:00:00,26.9,57.85
69,3/1/2021,21:00:00,26.9,54.62
70,3/1/2021,22:00:00,24.6,71.25
71,3/1/2021,23:00:00,26,57.31
72,4/1/2021,0:00:00,25,64.42
73,4/1/2021,1:00:00,23.6,74.81
74,4/1/2021,2:00:00,23.1,72.26
75,4/1/2021,3:00:00,22.2,72.5
76,4/1/2021,4:00:00,22.1,81.86
77,4/1/2021,5:00:00,22,69.16
78,4/1/2021,6:00:00,22,69.16
79,4/1/2021,7:00:00,21.9,74.59
80,4/1/2021,8:00:00,23,69.36
81,4/1/2021,9:00:00,25,61.16
82,4/1/2021,10:00:00,27.1,56.13
83,4/1/2021,11:00:00,28,54.28
84,4/1/2021,12:00:00,28.1,54.3
85,4/1/2021,13:00:00,31.1,44.61
86,4/1/2021,14:00:00,30,48.89
87,4/1/2021,15:00:00,30.1,48.64
88,4/1/2021,16:00:00,32.3,45.74
89,4/1/2021,17:00:00,30,48.89
90,4/1/2021,18:00:00,29,51.5
91,4/1/2021,19:00:00,28.6,59.65
92,4/1/2021,20:00:00,28,58.11
93,4/1/2021,21:00:00,27,61.61
94,4/1/2021,22:00:00,25.6,73.69
95,4/1/2021,23:00:00,26.9,61.93
96,5/1/2021,0:00:00,25,69.35
97,5/1/2021,1:00:00,24.1,74.94
98,5/1/2021,2:00:00,24.9,69.72
99,5/1/2021,3:00:00,23.9,74.02
100,5/1/2021,4:00:00,23.1,77.07
101,5/1/2021,5:00:00,23,78.21
102,5/1/2021,6:00:00,23,74.28
103,5/1/2021,7:00:00,23,73.93
104,5/1/2021,8:00:00,24.1,69.18
105,5/1/2021,9:00:00,26.9,58.17
106,5/1/2021,10:00:00,29.8,50.82
107,5/1/2021,11:00:00,29.9,49.14
108,5/1/2021,12:00:00,31,46.17
109,5/1/2021,13:00:00,33.5,43.28
110,5/1/2021,14:00:00,31.8,44.06
111,5/1/2021,15:00:00,30.9,46.14
112,5/1/2021,16:00:00,32,51.52
113,5/1/2021,17:00:00,30.9,49.12
114,5/1/2021,18:00:00,29.9,52.31
115,5/1/2021,19:00:00,29.4,62.75
116,5/1/2021,20:00:00,29,58.35
117,5/1/2021,21:00:00,29,58.35
118,5/1/2021,22:00:00,27.9,71.9
119,5/1/2021,23:00:00,28,62.18
120,6/1/2021,0:00:00,28,62.18
121,6/1/2021,1:00:00,26.2,82.81
122,6/1/2021,2:00:00,27,69.73
123,6/1/2021,3:00:00,26,73.97
124,6/1/2021,4:00:00,25.1,84.89
125,6/1/2021,5:00:00,25.8,79.04
126,6/1/2021,6:00:00,24.9,83.89
127,6/1/2021,7:00:00,23.6,78.75
128,6/1/2021,8:00:00,26,73.97
129,6/1/2021,9:00:00,27,65.56
130,6/1/2021,10:00:00,29,60.57
131,6/1/2021,11:00:00,30.9,52.27
132,6/1/2021,12:00:00,31,49.15
133,6/1/2021,13:00:00,33.5,45.17
134,6/1/2021,14:00:00,32.9,41.43
135,6/1/2021,15:00:00,32.9,43.86
136,6/1/2021,16:00:00,33.5,47.4
137,6/1/2021,17:00:00,32,46.18
138,6/1/2021,18:00:00,31,51.44
139,6/1/2021,19:00:00,30.1,61.4
140,6/1/2021,20:00:00,29.9,52.02
141,6/1/2021,21:00:00,30,57.95
142,6/1/2021,22:00:00,28.1,66.9
143,6/1/2021,23:00:00,28.9,55.42
144,7/1/2021,0:00:00,27,61.61
145,7/1/2021,1:00:00,26,76.17
146,7/1/2021,2:00:00,25.8,70.28
147,7/1/2021,3:00:00,24.9,78.48
148,7/1/2021,4:00:00,24.5,83.29
149,7/1/2021,5:00:00,24,78.35
150,7/1/2021,6:00:00,24,74.04
151,7/1/2021,7:00:00,22.6,88.29
152,7/1/2021,8:00:00,26,69.55
153,7/1/2021,9:00:00,28,61.84
154,7/1/2021,10:00:00,30.6,53.56
155,7/1/2021,11:00:00,30.9,52.27
156,7/1/2021,12:00:00,31.9,52.53
157,7/1/2021,13:00:00,33.6,43.1
158,7/1/2021,14:00:00,32,49.14
159,7/1/2021,15:00:00,32,49.14
160,7/1/2021,16:00:00,34.1,45.09
161,7/1/2021,17:00:00,32,49.14
162,7/1/2021,18:00:00,31,52.01
163,7/1/2021,19:00:00,29.7,66.74
164,7/1/2021,20:00:00,29.1,61.74
165,7/1/2021,21:00:00,29,62.06
166,7/1/2021,22:00:00,27.7,75.81
167,7/1/2021,23:00:00,28,65.77
168,8/1/2021,0:00:00,27.9,66.11
169,8/1/2021,1:00:00,26.1,77.55
170,8/1/2021,2:00:00,26,73.97
171,8/1/2021,3:00:00,25.9,70.29
172,8/1/2021,4:00:00,23.9,84.67
173,8/1/2021,5:00:00,25,74.21
174,8/1/2021,6:00:00,24,78.78
175,8/1/2021,7:00:00,23.1,86.15
176,8/1/2021,8:00:00,25.1,73.41
177,8/1/2021,9:00:00,27,65.56
178,8/1/2021,10:00:00,29.3,59.58
