,idx,datetime,temp,rh
0,0,2021-11-01 00:00:00,25.0,98.0
1,1,2021-11-01 01:00:00,25.2,97.0
2,2,2021-11-01 02:00:00,24.2,99.0
3,3,2021-11-01 03:00:00,24.1,99.0
4,4,2021-11-01 04:00:00,25.0,98.0
5,5,2021-11-01 05:00:00,23.9,98.0
6,6,2021-11-01 06:00:00,24.1,98.0
7,7,2021-11-01 07:00:00,26.0,98.0
8,8,2021-11-01 08:00:00,26.1,91.0
9,9,2021-11-01 09:00:00,27.8,83.0
10,10,2021-11-01 10:00:00,30.0,78.0
11,11,2021-11-01 11:00:00,29.8,75.0
12,12,2021-11-01 12:00:00,30.4,70.0
13,13,2021-11-01 13:00:00,33.1,66.0
14,14,2021-11-01 14:00:00,26.8,84.0
15,15,2021-11-01 15:00:00,27.3,85.0
16,16,2021-11-01 16:00:00,31.2,69.0
17,17,2021-11-01 17:00:00,27.8,82.0
18,18,2021-11-01 18:00:00,27.4,83.0
19,19,2021-11-01 19:00:00,28.6,84.0
20,20,2021-11-01 20:00:00,26.4,90.0
21,21,2021-11-01 21:00:00,25.3,97.0
22,22,2021-11-01 22:00:00,27.5,90.0
23,23,2021-11-01 23:00:00,25.0,96.0
24,24,2021-11-02 00:00:00,24.6,97.0
25,25,2021-11-02 01:00:00,26.8,93.0
26,26,2021-11-02 02:00:00,24.3,98.0
27,27,2021-11-02 03:00:00,24.2,98.0
28,28,2021-11-02 04:00:00,26.1,96.0
29,29,2021-11-02 05:00:00,24.0,98.0
30,30,2021-11-02 06:00:00,23.9,98.0
31,31,2021-11-02 07:00:00,26.1,95.0
32,32,2021-11-02 08:00:00,26.1,89.0
33,33,2021-11-02 09:00:00,28.6,82.0
34,34,2021-11-02 10:00:00,32.0,69.0
35,35,2021-11-02 11:00:00,30.8,72.0
36,36,2021-11-02 12:00:00,26.4,86.0
37,37,2021-11-02 13:00:00,33.5,61.0
38,38,2021-11-02 14:00:00,28.0,81.0
39,39,2021-11-02 15:00:00,28.4,80.0
40,40,2021-11-02 16:00:00,28.0,88.0
41,41,2021-11-02 17:00:00,27.9,80.0
42,42,2021-11-02 18:00:00,26.6,88.0
43,43,2021-11-02 19:00:00,27.5,91.0
44,44,2021-11-02 20:00:00,25.9,93.0
45,45,2021-11-02 21:00:00,25.2,93.0
46,46,2021-11-02 22:00:00,26.5,94.0
47,47,2021-11-02 23:00:00,24.7,97.0
48,48,2021-11-03 00:00:00,24.3,98.0
49,49,2021-11-03 01:00:00,25.5,96.0
50,50,2021-11-03 02:00:00,24.2,98.0
51,51,2021-11-03 03:00:00,22.9,96.0
52,52,2021-11-03 04:00:00,25.2,97.0
53,53,2021-11-03 05:00:00,22.7,95.0
