,idx,datetime,temp,rh
0,0,2021-10-01 00:00:00,26.2,96.0
1,1,2021-10-01 01:00:00,27.5,92.0
2,2,2021-10-01 02:00:00,25.7,97.0
3,3,2021-10-01 03:00:00,25.5,97.0
4,4,2021-10-01 04:00:00,26.8,94.0
5,5,2021-10-01 05:00:00,25.2,98.0
6,6,2021-10-01 06:00:00,25.1,98.0
7,7,2021-10-01 07:00:00,26.7,96.0
8,8,2021-10-01 08:00:00,27.8,87.0
9,9,2021-10-01 09:00:00,29.1,82.0
10,10,2021-10-01 10:00:00,32.3,72.0
11,11,2021-10-01 11:00:00,31.1,77.0
12,12,2021-10-01 12:00:00,31.8,75.0
13,13,2021-10-01 13:00:00,32.0,76.0
14,14,2021-10-01 14:00:00,29.2,80.0
15,15,2021-10-01 15:00:00,29.9,80.0
16,16,2021-10-01 16:00:00,33.2,59.0
17,17,2021-10-01 17:00:00,29.8,76.0
18,18,2021-10-01 18:00:00,28.7,85.0
19,19,2021-10-01 19:00:00,30.8,68.0
20,20,2021-10-01 20:00:00,28.0,84.0
21,21,2021-10-01 21:00:00,27.5,86.0
22,22,2021-10-01 22:00:00,29.2,80.0
23,23,2021-10-01 23:00:00,26.7,91.0
24,24,2021-10-02 00:00:00,26.5,91.0
25,25,2021-10-02 01:00:00,28.5,89.0
26,26,2021-10-02 02:00:00,26.2,91.0
27,27,2021-10-02 03:00:00,25.9,93.0
28,28,2021-10-02 04:00:00,27.5,94.0
29,29,2021-10-02 05:00:00,25.7,95.0
30,30,2021-10-02 06:00:00,25.4,96.0
31,31,2021-10-02 07:00:00,27.2,94.0
32,32,2021-10-02 08:00:00,27.1,89.0
33,33,2021-10-02 09:00:00,28.7,85.0
34,34,2021-10-02 10:00:00,30.7,70.0
35,35,2021-10-02 11:00:00,30.6,80.0
36,36,2021-10-02 12:00:00,31.3,78.0
37,37,2021-10-02 13:00:00,32.8,67.0
38,38,2021-10-02 14:00:00,29.7,79.0
39,39,2021-10-02 15:00:00,28.9,79.0
