,idx,datetime,temp,rh
0,0,2021-08-01 00:00:00,27.7,74.0
1,1,2021-08-01 01:00:00,28.8,71.0
2,2,2021-08-01 02:00:00,26.6,78.0
3,3,2021-08-01 03:00:00,26.1,82.0
4,4,2021-08-01 04:00:00,27.3,81.0
5,5,2021-08-01 05:00:00,25.8,85.0
6,6,2021-08-01 06:00:00,25.5,86.0
7,7,2021-08-01 07:00:00,27.5,81.0
8,8,2021-08-01 08:00:00,28.4,74.0
9,9,2021-08-01 09:00:00,29.3,70.0
10,10,2021-08-01 10:00:00,33.0,56.0
11,11,2021-08-01 11:00:00,32.3,60.0
12,12,2021-08-01 12:00:00,33.2,57.0
13,13,2021-08-01 13:00:00,33.0,53.0
14,14,2021-08-01 14:00:00,33.8,55.0
15,15,2021-08-01 15:00:00,32.4,58.0
16,16,2021-08-01 16:00:00,33.0,53.0
17,17,2021-08-01 17:00:00,31.5,59.0
18,18,2021-08-01 18:00:00,30.9,62.0
19,19,2021-08-01 19:00:00,31.0,63.0
20,20,2021-08-01 20:00:00,29.2,70.0
21,21,2021-08-01 21:00:00,28.7,72.0
22,22,2021-08-01 22:00:00,29.5,71.0
23,23,2021-08-01 23:00:00,27.7,75.0
24,24,2021-08-02 00:00:00,27.4,77.0
25,25,2021-08-02 01:00:00,28.5,76.0
26,26,2021-08-02 02:00:00,26.3,82.0
27,27,2021-08-02 03:00:00,26.1,84.0
28,28,2021-08-02 04:00:00,27.2,83.0
29,29,2021-08-02 05:00:00,26.3,82.0
30,30,2021-08-02 06:00:00,26.1,84.0
31,31,2021-08-02 07:00:00,28.0,77.0
32,32,2021-08-02 08:00:00,27.0,81.0
33,33,2021-08-02 09:00:00,28.1,76.0
34,34,2021-08-02 10:00:00,32.5,60.0
35,35,2021-08-02 11:00:00,31.2,63.0
36,36,2021-08-02 12:00:00,32.1,61.0
37,37,2021-08-02 13:00:00,34.0,56.0
38,38,2021-08-02 14:00:00,33.5,54.0
39,39,2021-08-02 15:00:00,32.8,56.0
40,40,2021-08-02 16:00:00,34.4,53.0
41,41,2021-08-02 17:00:00,30.7,66.0
42,42,2021-08-02 18:00:00,30.7,63.0
43,43,2021-08-02 19:00:00,29.0,75.0
44,44,2021-08-02 20:00:00,29.3,64.0
45,45,2021-08-02 21:00:00,28.6,68.0
46,46,2021-08-02 22:00:00,28.8,79.0
47,47,2021-08-02 23:00:00,27.4,80.0
48,48,2021-08-03 00:00:00,27.1,79.0
49,49,2021-08-03 01:00:00,28.1,78.0
50,50,2021-08-03 02:00:00,26.6,80.0
51,51,2021-08-03 03:00:00,26.4,81.0
52,52,2021-08-03 04:00:00,27.9,78.0
53,53,2021-08-03 05:00:00,26.0,83.0
54,54,2021-08-03 06:00:00,25.9,85.0
55,55,2021-08-03 07:00:00,28.0,78.0
56,56,2021-08-03 08:00:00,28.7,73.0
57,57,2021-08-03 09:00:00,30.1,68.0
58,58,2021-08-03 10:00:00,32.0,63.0
59,59,2021-08-03 11:00:00,32.3,58.0
60,60,2021-08-03 12:00:00,32.8,57.0
61,61,2021-08-03 13:00:00,32.2,61.0
62,62,2021-08-03 14:00:00,29.7,72.0
63,63,2021-08-03 15:00:00,31.2,62.0
64,64,2021-08-03 16:00:00,32.4,58.0
65,65,2021-08-03 17:00:00,31.0,62.0
66,66,2021-08-03 18:00:00,30.0,65.0
67,67,2021-08-03 19:00:00,30.0,65.0
68,68,2021-08-03 20:00:00,28.6,69.0
69,69,2021-08-03 21:00:00,28.2,71.0
70,70,2021-08-03 22:00:00,28.2,71.0
71,71,2021-08-03 23:00:00,27.0,79.0
72,72,2021-08-04 00:00:00,26.6,82.0
73,73,2021-08-04 01:00:00,27.2,77.0
74,74,2021-08-04 02:00:00,25.8,84.0
75,75,2021-08-04 03:00:00,25.7,85.0
76,76,2021-08-04 04:00:00,27.0,81.0
77,77,2021-08-04 05:00:00,25.6,87.0
78,78,2021-08-04 06:00:00,25.5,88.0
79,79,2021-08-04 07:00:00,27.0,84.0
80,80,2021-08-04 08:00:00,28.4,75.0
81,81,2021-08-04 09:00:00,29.9,69.0
82,82,2021-08-04 10:00:00,32.0,59.0
83,83,2021-08-04 11:00:00,32.8,57.0
84,84,2021-08-04 12:00:00,33.9,55.0
85,85,2021-08-04 13:00:00,34.5,54.0
86,86,2021-08-04 14:00:00,32.6,61.0
87,87,2021-08-04 15:00:00,33.6,55.0
88,88,2021-08-04 16:00:00,34.5,54.0
89,89,2021-08-04 17:00:00,30.3,73.0
90,90,2021-08-04 18:00:00,30.3,71.0
91,91,2021-08-04 19:00:00,30.0,72.0
92,92,2021-08-04 20:00:00,27.9,84.0
93,93,2021-08-04 21:00:00,28.3,75.0
94,94,2021-08-04 22:00:00,29.5,75.0
95,95,2021-08-04 23:00:00,27.3,74.0
96,96,2021-08-05 00:00:00,26.9,76.0
97,97,2021-08-05 01:00:00,28.5,79.0
98,98,2021-08-05 02:00:00,26.4,79.0
99,99,2021-08-05 03:00:00,26.3,80.0
100,100,2021-08-05 04:00:00,27.7,83.0
101,101,2021-08-05 05:00:00,25.5,86.0
102,102,2021-08-05 06:00:00,25.4,89.0
103,103,2021-08-05 07:00:00,28.2,83.0
104,104,2021-08-05 08:00:00,28.9,76.0
105,105,2021-08-05 09:00:00,30.6,66.0
106,106,2021-08-05 10:00:00,33.4,61.0
