date,time,temp,rh
9/1/2021,1300,29,38
9/1/2021,1400,30,37
9/1/2021,1500,31,36
9/1/2021,1600,31,36
9/1/2021,1700,31,37
9/1/2021,1800,30,38
9/1/2021,1900,30,38
9/1/2021,2000,29,39
9/1/2021,2100,29,39
9/1/2021,2200,28,40
9/1/2021,2300,28,41
10/1/2021,0,27,41
10/1/2021,100,27,42
10/1/2021,200,27,43
10/1/2021,300,27,43
10/1/2021,400,26,45
10/1/2021,500,26,46
10/1/2021,600,26,47
10/1/2021,700,26,46
10/1/2021,800,26,45
10/1/2021,900,27,44
10/1/2021,1000,28,41
10/1/2021,1100,29,39
10/1/2021,1200,30,36
10/1/2021,1300,31,35
10/1/2021,1400,32,34
10/1/2021,1500,33,32
10/1/2021,1600,32,33
10/1/2021,1700,32,34
10/1/2021,1800,32,34
10/1/2021,1900,32,36
10/1/2021,2000,31,38
10/1/2021,2100,30,39
10/1/2021,2200,29,40
10/1/2021,2300,28,41
11/1/2021,0,27,42
11/1/2021,100,27,43
11/1/2021,200,27,44
11/1/2021,300,26,45
11/1/2021,400,26,47
11/1/2021,500,26,48
11/1/2021,600,25,49
11/1/2021,700,26,48
11/1/2021,800,26,47
11/1/2021,900,26,45
11/1/2021,1000,27,43
11/1/2021,1100,28,40
11/1/2021,1200,29,38
11/1/2021,1300,30,37
11/1/2021,1400,30,36
11/1/2021,1500,31,35
11/1/2021,1600,30,35
11/1/2021,1700,30,36
11/1/2021,1800,30,37
11/1/2021,1900,28,37
11/1/2021,2000,27,38
11/1/2021,2100,26,38
11/1/2021,2200,25,39
11/1/2021,2300,24,39
12/1/2021,0,23,40
12/1/2021,100,22,41
12/1/2021,200,21,41
12/1/2021,300,20,42
12/1/2021,400,20,42
12/1/2021,500,19,42
12/1/2021,600,19,42
12/1/2021,700,20,41
12/1/2021,800,20,40
12/1/2021,900,21,39
12/1/2021,1000,22,37
12/1/2021,1100,23,36
12/1/2021,1200,25,34
12/1/2021,1300,25,33
12/1/2021,1400,26,33
12/1/2021,1500,27,32
12/1/2021,1600,27,32
12/1/2021,1700,27,31
12/1/2021,1800,27,31
12/1/2021,1900,26,32
12/1/2021,2000,26,32
12/1/2021,2100,25,32
12/1/2021,2200,25,32
12/1/2021,2300,24,32
13/1/2021,0,24,33
13/1/2021,100,24,33
13/1/2021,200,23,33
