,date,time,temp,rh
179,2021-01-08,1100,31,43
180,2021-01-08,1200,31,41
181,2021-01-08,1300,32,39
182,2021-01-08,1400,33,38
183,2021-01-08,1500,33,37
184,2021-01-08,1600,33,38
185,2021-01-08,1700,33,38
186,2021-01-08,1800,32,39
187,2021-01-08,1900,32,40
188,2021-01-08,2000,31,42
189,2021-01-08,2100,31,43
190,2021-01-08,2200,30,44
191,2021-01-08,2300,29,44
192,2021-01-09,0,29,45
193,2021-01-09,100,28,46
194,2021-01-09,200,27,46
195,2021-01-09,300,26,47
196,2021-01-09,400,26,48
197,2021-01-09,500,25,48
198,2021-01-09,600,24,49
199,2021-01-09,700,24,48
200,2021-01-09,800,25,47
201,2021-01-09,900,25,46
202,2021-01-09,1000,26,44
203,2021-01-09,1100,27,42
204,2021-01-09,1200,29,40
205,2021-01-09,1300,29,38
206,2021-01-09,1400,30,37
207,2021-01-09,1500,31,36
208,2021-01-09,1600,31,36
209,2021-01-09,1700,31,37
210,2021-01-09,1800,30,38
211,2021-01-09,1900,30,38
212,2021-01-09,2000,29,39
213,2021-01-09,2100,29,39
214,2021-01-09,2200,28,40
215,2021-01-09,2300,28,41
216,2021-01-10,0,27,41
217,2021-01-10,100,27,42
218,2021-01-10,200,27,43
219,2021-01-10,300,27,43
220,2021-01-10,400,26,45
221,2021-01-10,500,26,46
222,2021-01-10,600,26,47
223,2021-01-10,700,26,46
224,2021-01-10,800,26,45
225,2021-01-10,900,27,44
226,2021-01-10,1000,28,41
227,2021-01-10,1100,29,39
228,2021-01-10,1200,30,36
229,2021-01-10,1300,31,35
230,2021-01-10,1400,32,34
231,2021-01-10,1500,33,32
232,2021-01-10,1600,32,33
233,2021-01-10,1700,32,34
234,2021-01-10,1800,32,34
235,2021-01-10,1900,32,36
236,2021-01-10,2000,31,38
237,2021-01-10,2100,30,39
238,2021-01-10,2200,29,40
239,2021-01-10,2300,28,41
240,2021-01-11,0,27,42
241,2021-01-11,100,27,43
242,2021-01-11,200,27,44
243,2021-01-11,300,26,45
244,2021-01-11,400,26,47
245,2021-01-11,500,26,48
246,2021-01-11,600,25,49
247,2021-01-11,700,26,48
248,2021-01-11,800,26,47
249,2021-01-11,900,26,45
250,2021-01-11,1000,27,43
251,2021-01-11,1100,28,40
252,2021-01-11,1200,29,38
253,2021-01-11,1300,30,37
254,2021-01-11,1400,30,36
255,2021-01-11,1500,31,35
256,2021-01-11,1600,30,35
257,2021-01-11,1700,30,36
258,2021-01-11,1800,30,37
259,2021-01-11,1900,28,37
260,2021-01-11,2000,27,38
261,2021-01-11,2100,26,38
262,2021-01-11,2200,25,39
263,2021-01-11,2300,24,39
264,2021-01-12,0,23,40
265,2021-01-12,100,22,41
266,2021-01-12,200,21,41
267,2021-01-12,300,20,42
268,2021-01-12,400,20,42
269,2021-01-12,500,19,42
270,2021-01-12,600,19,42
271,2021-01-12,700,20,41
272,2021-01-12,800,20,40
273,2021-01-12,900,21,39
274,2021-01-12,1000,22,37
275,2021-01-12,1100,23,36
276,2021-01-12,1200,25,34
277,2021-01-12,1300,25,33
278,2021-01-12,1400,26,33
279,2021-01-12,1500,27,32
280,2021-01-12,1600,27,32
281,2021-01-12,1700,27,31
282,2021-01-12,1800,27,31
283,2021-01-12,1900,26,32
284,2021-01-12,2000,26,32
285,2021-01-12,2100,25,32
286,2021-01-12,2200,25,32
287,2021-01-12,2300,24,32
288,2021-01-13,0,24,33
289,2021-01-13,100,24,33
290,2021-01-13,200,23,33
291,2021-01-13,300,23,33
292,2021-01-13,400,23,33
293,2021-01-13,500,22,34
294,2021-01-13,600,22,34
295,2021-01-13,700,22,33
296,2021-01-13,800,23,32
297,2021-01-13,900,23,31
298,2021-01-13,1000,25,30
299,2021-01-13,1100,26,28
300,2021-01-13,1200,28,26
301,2021-01-13,1300,29,25
302,2021-01-13,1400,30,25
303,2021-01-13,1500,31,24
304,2021-01-13,1600,31,25
305,2021-01-13,1700,31,25
306,2021-01-13,1800,31,26
307,2021-01-13,1900,30,27
308,2021-01-13,2000,29,28
309,2021-01-13,2100,28,29
310,2021-01-13,2200,28,30
311,2021-01-13,2300,27,31
312,2021-01-14,0,27,32
313,2021-01-14,100,27,33
314,2021-01-14,200,26,34
315,2021-01-14,300,26,35
316,2021-01-14,400,26,37
317,2021-01-14,500,25,38
318,2021-01-14,600,25,39
319,2021-01-14,700,25,38
320,2021-01-14,800,26,37
321,2021-01-14,900,26,36
322,2021-01-14,1000,28,33
323,2021-01-14,1100,29,31
324,2021-01-14,1200,31,28
325,2021-01-14,1300,32,27
326,2021-01-14,1400,33,26
327,2021-01-14,1500,34,25
328,2021-01-14,1600,34,25
329,2021-01-14,1700,33,26
330,2021-01-14,1800,33,26
331,2021-01-14,1900,32,28
332,2021-01-14,2000,31,29
333,2021-01-14,2100,30,31
334,2021-01-14,2200,30,33
335,2021-01-14,2300,31,34
336,2021-01-15,0,31,36
337,2021-01-15,100,30,37
338,2021-01-15,200,29,38
339,2021-01-15,300,29,39
340,2021-01-15,400,28,40
341,2021-01-15,500,27,41
342,2021-01-15,600,27,42
343,2021-01-15,700,27,41
344,2021-01-15,800,28,41
345,2021-01-15,900,28,41
346,2021-01-15,1000,30,38
347,2021-01-15,1100,32,36
348,2021-01-15,1200,33,34
349,2021-01-15,1300,34,32
350,2021-01-15,1400,36,31
351,2021-01-15,1500,37,29
352,2021-01-15,1600,36,31
353,2021-01-15,1700,35,33
354,2021-01-15,1800,34,34
355,2021-01-15,1900,32,39
356,2021-01-15,2000,31,44
357,2021-01-15,2100,29,49
358,2021-01-15,2200,29,52
359,2021-01-15,2300,28,54
360,2021-01-16,0,28,57
361,2021-01-16,100,28,60
362,2021-01-16,200,27,63
363,2021-01-16,300,27,67
364,2021-01-16,400,27,68
365,2021-01-16,500,26,69
366,2021-01-16,600,26,71
367,2021-01-16,700,27,67
368,2021-01-16,800,27,64
369,2021-01-16,900,28,60
370,2021-01-16,1000,29,55
371,2021-01-16,1100,30,50
372,2021-01-16,1200,31,45
373,2021-01-16,1300,32,42
374,2021-01-16,1400,32,40
375,2021-01-16,1500,33,38
376,2021-01-16,1600,32,40
377,2021-01-16,1700,31,43
378,2021-01-16,1800,31,46
379,2021-01-16,1900,30,52
380,2021-01-16,2000,29,58
381,2021-01-16,2100,28,63
382,2021-01-16,2200,27,66
383,2021-01-16,2300,27,69
384,2021-01-17,0,27,71
385,2021-01-17,100,27,73
386,2021-01-17,200,27,74
387,2021-01-17,300,27,75
388,2021-01-17,400,26,76
389,2021-01-17,500,26,77
390,2021-01-17,600,26,77
391,2021-01-17,700,26,74
392,2021-01-17,800,27,70
393,2021-01-17,900,27,66
394,2021-01-17,1000,29,58
395,2021-01-17,1100,30,51
396,2021-01-17,1200,31,43
397,2021-01-17,1300,32,39
398,2021-01-17,1400,32,35
399,2021-01-17,1500,32,31
400,2021-01-17,1600,32,31
401,2021-01-17,1700,32,32
402,2021-01-17,1800,32,32
403,2021-01-17,1900,31,32
404,2021-01-17,2000,31,33
405,2021-01-17,2100,30,34
406,2021-01-17,2200,29,36
407,2021-01-17,2300,28,38
408,2021-01-18,0,27,40
409,2021-01-18,100,26,42
410,2021-01-18,200,25,43
411,2021-01-18,300,24,45
412,2021-01-18,400,23,45
413,2021-01-18,500,23,46
414,2021-01-18,600,22,46
415,2021-01-18,700,23,45
416,2021-01-18,800,23,44
417,2021-01-18,900,24,42
418,2021-01-18,1000,25,39
419,2021-01-18,1100,26,36
420,2021-01-18,1200,28,34
421,2021-01-18,1300,28,32
422,2021-01-18,1400,29,30
423,2021-01-18,1500,30,28
424,2021-01-18,1600,30,29
425,2021-01-18,1700,29,29
426,2021-01-18,1800,29,29
427,2021-01-18,1900,28,30
428,2021-01-18,2000,28,31
429,2021-01-18,2100,27,33
430,2021-01-18,2200,26,34
431,2021-01-18,2300,25,35
432,2021-01-19,0,25,36
433,2021-01-19,100,25,37
434,2021-01-19,200,25,38
435,2021-01-19,300,25,39
436,2021-01-19,400,25,40
437,2021-01-19,500,25,41
438,2021-01-19,600,25,42
439,2021-01-19,700,25,41
440,2021-01-19,800,24,41
441,2021-01-19,900,24,40
442,2021-01-19,1000,25,37
443,2021-01-19,1100,26,34
444,2021-01-19,1200,27,32
445,2021-01-19,1300,29,29
446,2021-01-19,1400,30,27
447,2021-01-19,1500,31,25
448,2021-01-19,1600,31,25
449,2021-01-19,1700,31,25
450,2021-01-19,1800,30,26
451,2021-01-19,1900,29,27
452,2021-01-19,2000,27,28
